lemma,word_type,article,plural_form,meaning_tr,example_de,example_tr,level,theme
Name,NOUN,DER,Namen,"isim, ad","Mein Name ist Alperen.","Benim adım Alperen.",A1,TANISMA
Frau,NOUN,DIE,Frauen,"kadın, hanım","Die Frau kommt aus der Türkei.","Kadın Türkiye'den geliyor.",A1,TANISMA
Mann,NOUN,DER,Männer,"adam, erkek","Der Mann ist Lehrer.","Adam öğretmen.",A1,TANISMA
Land,NOUN,DAS,Länder,ülke,"Welches Land ist das?","Bu hangi ülke?",A1,TANISMA
Stadt,NOUN,DIE,Städte,şehir,"Ich wohne in einer kleinen Stadt.","Küçük bir şehirde oturuyorum.",A1,TANISMA
Beruf,NOUN,DER,Berufe,meslek,"Was sind Sie von Beruf?","Mesleğiniz nedir?",A1,TANISMA
Sprache,NOUN,DIE,Sprachen,dil,"Ich lerne zwei Sprachen.","İki dil öğreniyorum.",A1,TANISMA
Freund,NOUN,DER,Freunde,arkadaş,"Mein Freund wohnt in Berlin.","Arkadaşım Berlin'de oturuyor.",A1,TANISMA
Adresse,NOUN,DIE,Adressen,adres,"Wie ist Ihre Adresse?","Adresiniz nedir?",A1,TANISMA
Nummer,NOUN,DIE,Nummern,numara,"Ich gebe dir meine Nummer.","Sana numaramı vereyim.",A1,TANISMA
heißen,VERB,,,"adı olmak, denmek","Wie heißt du?","Adın ne?",A1,TANISMA
wohnen,VERB,,,oturmak,"Wo wohnst du?","Nerede oturuyorsun?",A1,TANISMA
kommen,VERB,,,gelmek,"Ich komme aus Ankara.","Ankara'dan geliyorum.",A1,TANISMA
sprechen,VERB,,,konuşmak,"Sprichst du Deutsch?","Almanca konuşuyor musun?",A1,TANISMA
lernen,VERB,,,öğrenmek,"Wir lernen jeden Tag.","Her gün öğreniyoruz.",A1,TANISMA
arbeiten,VERB,,,çalışmak,"Sie arbeitet im Krankenhaus.","O hastanede çalışıyor.",A1,TANISMA
verstehen,VERB,,,anlamak,"Ich verstehe das nicht.","Bunu anlamıyorum.",A1,TANISMA
Familie,NOUN,DIE,Familien,aile,"Meine Familie ist groß.","Ailem büyük.",A1,AILE_EV
Mutter,NOUN,DIE,Mütter,anne,"Meine Mutter kocht gern.","Annem yemek yapmayı sever.",A1,AILE_EV
Vater,NOUN,DER,Väter,baba,"Mein Vater arbeitet viel.","Babam çok çalışıyor.",A1,AILE_EV
Kind,NOUN,DAS,Kinder,çocuk,"Das Kind spielt im Garten.","Çocuk bahçede oynuyor.",A1,AILE_EV
Bruder,NOUN,DER,Brüder,erkek kardeş,"Mein Bruder ist älter als ich.","Kardeşim benden büyük.",A1,AILE_EV
Schwester,NOUN,DIE,Schwestern,kız kardeş,"Meine Schwester studiert.","Kız kardeşim üniversitede okuyor.",A1,AILE_EV
Haus,NOUN,DAS,Häuser,ev,"Das Haus ist alt.","Ev eski.",A1,AILE_EV
Wohnung,NOUN,DIE,Wohnungen,daire,"Die Wohnung hat drei Zimmer.","Dairenin üç odası var.",A1,AILE_EV
Zimmer,NOUN,DAS,Zimmer,oda,"Mein Zimmer ist klein.","Odam küçük.",A1,AILE_EV
Tisch,NOUN,DER,Tische,masa,"Das Buch liegt auf dem Tisch.","Kitap masanın üstünde.",A1,AILE_EV
Stuhl,NOUN,DER,Stühle,sandalye,"Der Stuhl ist bequem.","Sandalye rahat.",A1,AILE_EV
Bett,NOUN,DAS,Betten,yatak,"Das Bett steht am Fenster.","Yatak pencerenin yanında.",A1,AILE_EV
Tür,NOUN,DIE,Türen,kapı,"Mach bitte die Tür zu.","Lütfen kapıyı kapat.",A1,AILE_EV
Fenster,NOUN,DAS,Fenster,pencere,"Das Fenster ist offen.","Pencere açık.",A1,AILE_EV
Küche,NOUN,DIE,Küchen,mutfak,"Wir essen in der Küche.","Mutfakta yemek yiyoruz.",A1,AILE_EV
Buch,NOUN,DAS,Bücher,kitap,"Ich lese ein Buch.","Bir kitap okuyorum.",A1,AILE_EV
Tag,NOUN,DER,Tage,gün,"Der Tag war lang.","Gün uzundu.",A1,GUNLUK_HAYAT
Morgen,NOUN,DER,Morgen,sabah,"Am Morgen trinke ich Tee.","Sabahları çay içerim.",A1,GUNLUK_HAYAT
Abend,NOUN,DER,Abende,akşam,"Am Abend sehe ich fern.","Akşamları televizyon izlerim.",A1,GUNLUK_HAYAT
Nacht,NOUN,DIE,Nächte,gece,"Gute Nacht!","İyi geceler!",A1,GUNLUK_HAYAT
Arbeit,NOUN,DIE,Arbeiten,iş,"Ich gehe zur Arbeit.","İşe gidiyorum.",A1,GUNLUK_HAYAT
Schule,NOUN,DIE,Schulen,okul,"Die Schule beginnt um acht.","Okul sekizde başlıyor.",A1,GUNLUK_HAYAT
aufstehen,VERB,,,kalkmak,"Ich stehe um sieben auf.","Yedide kalkıyorum.",A1,GUNLUK_HAYAT
